# The reference the verify job reports the gate's wall clock against: job, seconds, floor percent.
#
# Updated by hand, never by the workflow. A report that recomputed its reference from its own
# recent past would let a slowdown become the new normal one window at a time, and the accumulated
# growth would never appear in any single report.
#
# Seconds: the median first-step-to-last-step span over the 24 completed main runs to 2026-09-01.
# Floor: the p95 movement of a 12-run median resampled from that same population, rounded up --
# whole runs resampled rather than single jobs, because a slow runner slows every job on it. A job
# with no row here is reported as unreferenced rather than measured. p95 rather than p90 because
# a report holding no verdict is worth only what it is worth reading, and a floor speaking on
# half of the quiet pushes spends exactly that.
#
# The total row is the sum of the seconds above it, compared the same way. Move a job's seconds and
# move the total with it, or the next report says the total has drifted.
#
# The `format` job has no row and needs none: a push to main turns every scope on, and that job runs
# only where `frontend` does not, so it is skipped on every run this report is cut from. The check
# it carries runs inside `frontend` on those pushes, which is where its seconds already are.
#
# `ops` is the one row below that is a projection rather than a measurement: the 12 s that scope
# took in CI before `nginx/redaction_test.sh` joined it, plus the 14 s the new check costs,
# measured locally rather than on a runner. Replace it with a real median once twelve main
# pushes carrying that check are on record -- until then a report naming `ops` is a statement
# about this estimate rather than about the gate.
#
# job	seconds	floor
backend	37	14
backend-db	67	22
docs	35	8
frontend	110	10
images	97	10
ops	26	17
scripts	47	8
total	419	5
